,Id,Genere,FranjaEdat,NumVoluntariats,Social,Cultural,Ambiental,Educatiu
528,528,1,7,15,1,0,0,1
5797,5797,0,7,6,1,0,0,0
5486,5486,1,9,5,1,0,1,0
2742,2742,1,7,4,1,1,1,0
5846,5846,0,7,3,1,0,1,0
7137,7137,1,8,2,0,1,0,1
3326,3326,1,7,5,1,0,0,0
2387,2387,0,6,4,1,0,0,0
3819,3819,0,6,2,1,0,0,0
3008,3008,1,6,3,1,1,1,0
3601,3601,1,7,1,1,0,0,1
2979,2979,1,7,2,0,0,0,0
3392,3392,0,7,4,0,0,0,1
7440,7440,1,9,0,0,1,0,0
1210,1210,0,7,9,1,1,0,1
3083,3083,0,6,3,0,0,0,0
7085,7085,1,9,2,1,1,0,1
2802,2802,1,6,3,0,0,1,0
7295,7295,1,8,2,0,1,0,1
1599,1599,1,8,3,1,1,0,0
3764,3764,0,8,7,1,0,1,1
6126,6126,1,7,3,0,1,1,0
3126,3126,1,6,4,1,1,0,1
7389,7389,1,8,0,0,1,1,1
22,22,1,6,4,1,0,1,1
113,113,1,7,3,1,1,0,0
2206,2206,1,7,2,0,0,0,1
141,141,1,8,4,0,0,0,1
6668,6668,1,9,2,0,1,0,1
1302,1302,0,7,6,0,0,0,0
3214,3214,1,7,5,1,0,0,0
216,216,0,8,4,0,1,1,1
2767,2767,0,7,5,1,0,0,0
5317,5317,1,8,2,0,1,1,0
4829,4829,0,7,1,0,0,1,0
1625,1625,0,7,4,0,0,1,1
6958,6958,0,8,2,0,0,1,0
5159,5159,1,7,2,0,0,0,0
4031,4031,0,8,2,1,1,1,1
1758,1758,1,8,1,1,0,1,1
7047,7047,1,8,1,1,1,1,1
8083,8083,1,8,2,0,1,1,0
2234,2234,1,6,2,1,0,1,0
755,755,1,6,19,0,0,0,1
8120,8120,0,8,0,0,1,1,0
4791,4791,1,7,5,0,0,0,0
6051,6051,1,6,6,0,0,0,0
5326,5326,0,7,4,0,1,0,0
3540,3540,0,7,2,1,1,0,0
2848,2848,0,6,5,0,0,0,1
7424,7424,1,9,1,1,1,0,1
4938,4938,1,7,4,0,1,1,1
7959,7959,0,6,0,1,1,0,0
7553,7553,1,6,1,1,1,0,0
3157,3157,1,6,3,0,1,1,0
5360,5360,0,8,6,0,0,1,0
569,569,1,7,2,0,1,1,0
932,932,0,9,2,1,0,0,1
279,279,0,9,3,0,1,1,1
2032,2032,1,6,3,0,1,0,1
7272,7272,0,9,1,0,1,0,0
1009,1009,0,8,4,1,1,1,1
6867,6867,1,8,2,1,0,0,1
2245,2245,0,6,4,1,1,1,0
4964,4964,1,7,2,1,0,1,1
3327,3327,0,6,3,0,1,0,1
2735,2735,0,6,3,0,0,1,0
6167,6167,1,9,1,1,0,1,0
2732,2732,0,7,3,0,1,0,0
4112,4112,1,6,5,1,1,1,1
8276,8276,1,6,1,1,1,0,0
7013,7013,0,8,2,1,1,0,0
7619,7619,0,6,1,1,1,0,0
72,72,0,7,3,0,0,1,1
4259,4259,0,7,5,0,0,1,1
7728,7728,0,6,0,0,1,0,0
586,586,1,7,9,1,1,1,0
1513,1513,0,8,1,0,1,1,1
5402,5402,0,9,6,1,1,1,0
2651,2651,1,6,4,0,0,1,1
1955,1955,1,8,2,1,0,0,1
6122,6122,0,8,3,0,0,0,0
947,947,2,6,18,0,1,0,1
5128,5128,1,6,2,0,0,1,0
3092,3092,1,6,3,1,1,1,1
4789,4789,1,6,6,0,1,0,0
3074,3074,0,6,2,0,1,1,1
7795,7795,1,6,2,1,1,1,0
7504,7504,1,7,0,0,1,1,0
5396,5396,0,7,5,0,1,0,0
5698,5698,0,8,1,1,1,1,0
5731,5731,1,8,4,1,1,0,0
5998,5998,0,6,5,1,1,1,0
2777,2777,0,7,5,1,0,0,1
6524,6524,0,8,2,0,1,0,0
3148,3148,0,6,5,1,0,0,1
6644,6644,0,8,1,0,1,0,0
5173,5173,1,8,1,0,0,0,0
7819,7819,0,8,1,0,1,0,0
3854,3854,0,8,3,1,0,1,1
7817,7817,1,8,0,0,1,1,0
1757,1757,1,7,1,0,1,0,0
4508,4508,1,7,5,1,1,0,1
8150,8150,1,6,2,0,1,0,0
692,692,2,7,9,1,1,0,0
133,133,1,7,2,0,1,0,1
5518,5518,0,6,5,1,0,1,0
5222,5222,0,8,6,1,0,1,0
6291,6291,1,6,3,1,0,0,0
1453,1453,1,6,2,1,0,0,1
3955,3955,1,8,3,1,0,1,0
5483,5483,1,6,6,1,1,1,0
3539,3539,0,6,7,0,0,1,1
2102,2102,0,7,5,0,0,1,0
174,174,0,9,4,1,0,0,1
204,204,0,6,3,1,0,1,1
4219,4219,0,6,4,1,0,1,1
1465,1465,0,8,5,1,1,1,0
4455,4455,0,8,4,0,1,1,0
4914,4914,0,6,4,1,1,0,1
1580,1580,0,7,1,1,0,1,1
4980,4980,0,8,2,0,1,0,1
8298,8298,1,6,2,1,1,1,0
6502,6502,1,8,3,0,1,1,0
587,587,1,6,14,0,0,0,0
7690,7690,1,7,1,1,1,0,0
7469,7469,0,8,0,1,1,1,1
1501,1501,1,8,2,0,1,0,1
7103,7103,1,8,0,1,1,0,1
6293,6293,0,9,4,1,0,0,0
1100,1100,1,7,5,0,1,0,1
3876,3876,0,8,5,0,1,0,1
427,427,1,6,4,1,0,1,0
7889,7889,1,8,0,1,1,1,0
2081,2081,1,7,2,1,1,0,1
5560,5560,1,7,1,1,0,1,0
2750,2750,0,6,5,0,0,0,0
1467,1467,1,6,8,1,0,0,0
6517,6517,0,9,1,1,1,0,1
3333,3333,1,7,2,1,1,1,0
4204,4204,0,6,7,1,1,0,1
3667,3667,0,7,3,1,0,1,0
1640,1640,0,8,1,0,0,0,1
7329,7329,1,8,2,1,1,1,1
1746,1746,1,7,2,1,0,1,1
7481,7481,1,8,1,0,1,0,0
6844,6844,0,8,0,0,0,0,1
3448,3448,1,7,2,0,1,1,1
1372,1372,1,8,10,0,0,1,0
4674,4674,0,8,5,0,0,0,1
5989,5989,0,6,4,1,0,1,0
420,420,0,7,3,0,0,1,0
4015,4015,0,6,7,1,0,1,0
2420,2420,1,6,3,0,0,1,0
7989,7989,0,8,0,1,1,0,0
8162,8162,1,8,2,1,1,0,0
2878,2878,0,7,4,0,0,1,1
