	Id	Genere	FranjaEdat	NumVoluntariats
0	0	0	8	2
1	1	0	6	1
2	2	1	8	1
3	3	0	9	2
4	4	1	7	3
5	5	1	6	7
6	6	0	10	4
7	7	0	10	2
8	8	1	7	3
9	9	0	9	16
10	10	2	9	7
11	11	2	7	14
12	12	2	9	2
13	13	2	8	15
14	14	0	6	3
15	15	2	9	5
16	16	2	7	5
17	17	0	7	12
18	18	1	9	18
19	19	1	10	20
20	20	2	10	11
21	21	0	7	0
22	22	1	7	9
23	23	2	7	5
24	24	1	10	8
25	25	0	9	7
26	26	2	7	13
27	27	0	10	1
28	28	1	6	7
29	29	1	6	5
30	30	0	7	0
31	31	2	6	2
32	32	1	9	2
33	33	0	7	11
34	34	1	8	1
35	35	0	10	12
36	36	2	8	14
37	37	1	8	20
38	38	1	8	11
39	39	1	6	16
40	40	0	9	17
41	41	0	9	15
42	42	1	8	16
43	43	0	9	11
44	44	2	9	17
45	45	0	10	12
46	46	2	7	11
47	47	1	6	14
48	48	1	7	12
49	49	1	7	17
50	50	1	7	11
51	51	1	8	13
52	52	1	8	7
53	53	2	10	6
54	54	0	6	1
55	55	0	7	0
56	56	1	8	4
57	57	2	8	8
58	58	1	7	12
59	59	2	9	9
60	60	0	6	5
61	61	2	6	2
62	62	2	6	3
63	63	0	9	11
64	64	1	9	1
65	65	0	8	20
66	66	2	10	2
67	67	0	10	3
68	68	1	7	8
69	69	1	10	17
70	70	0	6	3
71	71	2	6	10
72	72	0	6	11
73	73	2	10	8
74	74	0	6	18
75	75	2	7	20
76	76	0	7	7
77	77	1	10	11
78	78	2	6	15
79	79	2	8	12
80	80	0	9	12
81	81	1	8	4
82	82	1	7	19
83	83	1	10	7
84	84	1	7	4
85	85	1	8	16
86	86	1	10	1
87	87	1	7	7
88	88	1	6	1
89	89	0	9	16
90	90	0	9	12
91	91	1	10	19
92	92	1	7	4
93	93	0	10	3
94	94	2	8	2
95	95	2	7	19
96	96	0	8	3
97	97	2	8	3
98	98	2	7	12
99	99	2	6	20
100	100	1	8	4
101	101	2	9	13
102	102	0	7	0
103	103	1	7	16
104	104	0	6	12
105	105	1	8	10
106	106	1	10	3
