"Ordre";"IdPersona";"Sexe";"FranjaEdat";"Municipi";"DataAlta";"Estudiant";"Treballador";"Aturat";"Jubilat";"Derivats";"Voluntaris"
"1";"1";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"3";"1"
"2";"3";"H";"2";"BARCELONA";"2015/01/07";"N";"N";"N";"N";"4";"1"
"3";"4";"H";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"5";"1"
"4";"5";"H";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"3";"0"
"5";"6";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"2";"0"
"6";"7";"H";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"3";"0"
"7";"8";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"4";"1"
"8";"9";"D";"3";"";"2015/01/07";"N";"N";"N";"N";"2";"1"
"9";"10";"D";"2";"SABADELL";"2011/02/15";"N";"N";"N";"Y";"5";"1"
"10";"11";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"6";"1"
"11";"12";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"1"
"12";"13";"H";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"4";"1"
"13";"14";"D";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"3";"1"
"14";"15";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"1";"1"
"15";"16";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"3";"0"
"16";"17";"D";"3";"BARBERÀ DEL VALLÈS";"2015/01/07";"Y";"N";"N";"N";"5";"1"
"17";"18";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"3";"1"
"18";"19";"D";"2";"BADIA DEL VALLÈS";"2015/01/07";"N";"N";"N";"N";"3";"1"
"19";"20";"D";"1";"SABADELL";"2015/01/07";"Y";"N";"N";"N";"3";"0"
"20";"21";"D";"1";"SABADELL";"2015/01/07";"N";"Y";"N";"N";"2";"0"
"21";"22";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"3";"1"
"22";"24";"H";"2";"";"2015/01/07";"N";"N";"N";"Y";"2";"1"
"23";"25";"H";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"4";"0"
"24";"26";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"3";"1"
"25";"27";"D";"2";"SABADELL";"2015/01/07";"Y";"N";"N";"N";"5";"1"
"26";"28";"D";"1";"SABADELL";"2015/01/07";"Y";"N";"N";"N";"3";"1"
"27";"29";"D";"1";"SABADELL";"2015/01/07";"Y";"N";"N";"N";"2";"1"
"28";"30";"D";"1";"MANACOR";"2015/01/07";"N";"N";"N";"N";"2";"0"
"29";"31";"H";"3";"";"2015/01/07";"N";"N";"N";"Y";"1";"1"
"30";"32";"D";"3";"SABADELL";"2011/04/04";"N";"N";"N";"N";"7";"1"
"31";"33";"D";"3";"";"2015/01/07";"N";"N";"N";"N";"4";"1"
"32";"34";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"3";"0"
"33";"35";"H";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"3";"1"
"34";"36";"D";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"3";"1"
"35";"37";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"3";"0"
"36";"38";"D";"3";"SABADELL";"2015/01/07";"N";"N";"Y";"N";"11";"1"
